Symbol,Name
XXII,22nd Century Group
FAX,Aberdeen Asia-Pacific Income Fund Inc
IAF,Aberdeen Australia Equity Fund Inc
AEF,Aberdeen Emerging Markets Equity Income Fund
FCO,Aberdeen Global Income Fund
ACU,Acme United Corporation.
ATNM,Actinium Pharmaceuticals
AE,Adams Resources & Energy
ACY,AeroCentury Corp.
UAVS,AgEagle Aerial Systems
AGE,AgeX Therapeutics
AIRI,Air Industries Group
AXU,Alexco Resource Corp
ALO,Alio Gold Inc.
AAU,Almaden Minerals
APT,Alpha Pro Tech
AAMC,Altisource Asset Management Corp
AMBO,Ambow Education Holding Ltd.
DIT,AMCON Distributing Company
AMS,American Shared Hospital Services
USAS,Americas Silver Corporation
AMPE,Ampio Pharmaceuticals
ARNC^,Arconic Inc.
ARMP,Armata Pharmaceuticals
AKG,Asanko Gold Inc.
AINC,Ashford Inc.
AUG,Auryn Resources Inc.
AWX,Avalon Holdings Corporation
ASM,Avino Silver
BTG,B2Gold Corp
BTN,Ballantyne Strong
BKJ,Bancorp of New Jersey
BCV,Bancroft Fund Limited
BCV^A,Bancroft Fund Limited
BHB,Bar Harbor Bankshares
BRN,Barnwell Industries
BGSF,BG Staffing Inc
BIOX,Bioceres Crop Solutions Corp.
BIOX.WS,Bioceres Crop Solutions Corp.
BPMX,BioPharmX Corporation
BTX,BioTime
BGI,Birks Group Inc.
BKTI,BK Technologies Corporation
BDR,Blonder Tongue Laboratories
BRG,Bluerock Residential Growth REIT
BRG^A,Bluerock Residential Growth REIT
BRG^C,Bluerock Residential Growth REIT
BRG^D,Bluerock Residential Growth REIT
DMF,BNY Mellon Municipal Income Inc.
BWL.A,Bowl America
CMCL,Caledonia Mining Corporation Plc
CEI,Camber Energy
CANF,Can-Fite Biopharma Ltd
ROX,Castle Brands
YCBD,cbdMD
CVM,Cel-Sci Corporation
CET,Central Securities Corporation
LEU,Centrus Energy Corp.
CHAC,Chardan Healthcare Acquisition Corp.
CHAC.U,Chardan Healthcare Acquisition Corp.
CHAC.WS,Chardan Healthcare Acquisition Corp.
CCF,Chase Corporation
CQP,Cheniere Energy Partners
LNG,Cheniere Energy
CVR,Chicago Rivet & Machine Co.
CPHI,China Pharma Holdings
CKX,CKX Lands
CCC.WS,Clarivate Analytics Plc
GLV,Clough Global Dividend and Income Fund
GLQ,Clough Global Equity Fund
GLO,Clough Global Opportunities Fund
COHN,Cohen & Company Inc.
CIX,CompX International Inc.
LODE,Comstock Mining
CDOR,Condor Hospitality Trust
CTO,Consolidated-Tomoka Land Co.
MCF,Contango Oil & Gas Company
CUO,Continental Materials Corporation
CMT,Core Molding Technologies Inc
CVRS,Corindus Vascular Robotics
CRMD,CorMedix Inc.
