"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"YI","111, Inc.","5.1","$416.46M","2018","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/yi",
"PIH","1347 Property Insurance Holdings, Inc.","4.85","$29.16M","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pih",
"PIHPP","1347 Property Insurance Holdings, Inc.","25.25","$17.68M","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pihpp",
"TURN","180 Degree Capital Corp.","1.9799","$61.62M","n/a","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/turn",
"FLWS","1-800 FLOWERS.COM, Inc.","19.18","$1.23B","1999","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/flws",
"BCOW","1895 Bancorp of Wisconsin, Inc.","9.05","$44.13M","2019","Finance","Banks","https://www.nasdaq.com/symbol/bcow",
"FCCY","1st Constitution Bancorp (NJ)","18.12","$156.33M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","45.72","$1.17B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/srce",
"VNET","21Vianet Group, Inc.","7.78","$874.42M","2011","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/vnet",
"TWOU","2U, Inc.","39.12","$2.47B","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/twou",
"QFIN","360 Finance, Inc.","11.26","$1.62B","2018","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/qfin",
"JOBS","51job, Inc.","76.95","$4.81B","2004","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/jobs",
"JFK","8i Enterprises Acquisition Corp","9.92","$73.68M","2019","Finance","Business Services","https://www.nasdaq.com/symbol/jfk",
"JFKKR","8i Enterprises Acquisition Corp","0.45","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/jfkkr",
"JFKKU","8i Enterprises Acquisition Corp","10.57","$52.85M","2019","Finance","Business Services","https://www.nasdaq.com/symbol/jfkku",
"JFKKW","8i Enterprises Acquisition Corp","0.3","$1.73M","2019","Finance","Business Services","https://www.nasdaq.com/symbol/jfkkw",
"EGHT","8x8 Inc","25.87","$2.5B","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/eght",
"AAON","AAON, Inc.","51.24","$2.67B","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aaon",
"ABEO","Abeona Therapeutics Inc.","4.18","$205.5M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abeo",
"ABEOW","Abeona Therapeutics Inc.","0.95","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abeow",
"ABIL","Ability Inc.","0.9","$7.24M","2014","Capital Goods","Telecommunications Equipment","https://www.nasdaq.com/symbol/abil",
"ABMD","ABIOMED, Inc.","262.69","$11.9B","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/abmd",
"AXAS","Abraxas Petroleum Corporation","1.03","$173.42M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/axas",
"ACIU","AC Immune SA","5.4","$364.84M","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aciu",
"ACIA","Acacia Communications, Inc.","64.4","$2.64B","2016","Technology","Semiconductors","https://www.nasdaq.com/symbol/acia",
"ACTG","Acacia Research Corporation","2.82","$141.18M","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/actg",
"ACHC","Acadia Healthcare Company, Inc.","33.51","$2.97B","n/a","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/achc",
"ACAD","ACADIA Pharmaceuticals Inc.","27.23","$3.93B","1985","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acad",
"ACAM","Acamar Partners Acquisition Corp.","9.76","$372.8M","2019","Finance","Business Services","https://www.nasdaq.com/symbol/acam",
"ACAMU","Acamar Partners Acquisition Corp.","10.05","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/acamu",
"ACAMW","Acamar Partners Acquisition Corp.","0.72","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/acamw",
"ACST","Acasti Pharma, Inc.","1.42","$112.29M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acst",
"AXDX","Accelerate Diagnostics, Inc.","19.05","$1.04B","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/axdx",
"XLRN","Acceleron Pharma Inc.","40.86","$2.15B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/xlrn",
"ARAY","Accuray Incorporated","3.61","$317.77M","2007","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/aray",
